PULocationID,hour,zone_hour_avg_fare,zone_hour_ride_count,zone_hour_fare_std
1,6,8.2,1,0.0
1,13,49.18,2,15.810907627331202
1,15,75.826,5,20.42394991180697
1,23,102.01,1,0.0
10,0,56.44785714285714,14,27.415752119643084
10,1,44.09357142857142,14,33.24009617850171
10,2,41.001666666666665,6,41.52404046653777
10,3,34.835,8,28.97249828963421
10,4,57.300000000000004,9,29.646169229767278
10,5,39.96472222222222,36,21.910562160892844
10,6,46.64396551724138,58,28.87859548145038
10,7,46.95916666666667,108,31.364180686576
10,8,41.64,71,26.541958050280634
10,9,41.62864864864865,37,25.71679414120082
10,10,43.212799999999994,25,31.856958360772605
10,11,50.2992,25,32.83938640311864
10,12,40.069545454545455,22,26.011212321808767
10,13,45.77945945945946,37,31.539276126578883
10,14,45.031956521739126,46,34.62057619519
10,15,66.06057142857142,35,32.27316258430954
10,16,81.2147619047619,42,24.276243454937408
10,17,69.799375,16,34.450355096137976
10,18,68.60954545454545,22,32.715381481771466
10,19,62.19117647058823,34,35.10850425895766
10,20,61.31642857142857,28,34.43059720378844
10,21,58.46486486486486,37,33.91400911960372
10,22,52.2325,44,32.443311284346784
10,23,42.53333333333334,42,29.40919058826527
100,0,22.258737500000002,800,12.350511890648303
100,1,22.311487758945386,531,12.715447990287947
100,2,23.70135802469136,324,15.03156007040052
100,3,25.719066147859923,257,17.820000304244203
100,4,29.18480769230769,208,22.165480996110286
100,5,19.25041095890411,730,13.550283242890847
100,6,17.841404011461318,1396,10.526215781205511
100,7,19.814846625766872,1467,12.929132835588023
100,8,21.27844428871759,1427,13.782194912142915
100,9,22.260857908847182,1492,14.417240217677461
100,10,24.19135922330097,1545,14.664118856244713
100,11,23.635605131065255,1793,14.273556824574202
100,12,23.24995804929208,1907,13.87726398149471
100,13,24.162750759878417,1974,16.214796515316937
100,14,24.313635071090047,2110,16.171240633361993
100,15,24.025464019851114,2015,15.886367300566588
100,16,24.3575572519084,2358,12.89205492045502
100,17,24.15403744259979,2831,12.288845192563663
100,18,23.253381944444445,2880,10.226975642650503
100,19,23.2079674796748,2214,10.728804101087881
100,20,22.065453677172872,2094,10.654394267590828
100,21,22.217354085603112,2313,10.829200596381185
100,22,22.80822365393465,2173,11.080325564476029
100,23,21.84783319705642,1223,11.219522249514103
101,0,30.29421052631579,19,14.69142089633322
101,1,24.422857142857143,7,10.645004641122698
101,2,28.7575,4,17.159899718044198
101,3,25.43,1,0.0
101,4,52.836666666666666,3,10.515133538540217
101,5,48.79,1,0.0
101,6,33.164,5,19.2063408800323
101,7,46.836666666666666,6,32.388751545353934
101,8,34.301,10,16.668600854434196
101,9,46.28,6,15.347522275598756
101,10,35.94,6,18.043222550309576
101,11,36.36666666666667,3,10.454823448214384
101,12,27.123333333333335,3,22.38268154920972
101,13,45.15571428571429,7,25.696952385541014
101,14,36.73428571428571,7,20.368802826170924
101,15,49.216,5,19.591913638029343
101,17,47.156666666666666,3,21.897612503040904
101,18,29.1775,4,5.62249277456183
101,19,42.5525,4,11.824571521482994
101,20,35.2775,4,19.212435859793175
101,21,8.8,2,2.489015869776648
101,22,33.769999999999996,8,26.013796888794005
101,23,23.489473684210527,19,15.017392684515366
102,0,22.896666666666665,6,14.457928851210559
102,1,32.29,1,0.0
102,2,13.285,2,1.788980156401966
102,3,13.316666666666668,6,8.684871137021357
102,4,20.21875,8,11.293076814073807
102,5,25.8125,8,16.788814941587066
102,6,31.973333333333333,27,13.66002224347778
102,7,25.30333333333333,24,18.87558364583767
102,8,29.805500000000002,20,15.436210836860191
102,9,32.575,10,19.120039661744077
102,10,16.146666666666665,6,13.74883510217017
102,11,26.71625,8,13.233909839607383
102,12,25.0,2,2.8284271247461903
102,13,22.120833333333334,12,11.24139788972668
102,14,28.278,10,16.74113748956278
102,15,24.50142857142857,7,13.757804365245965
102,16,32.342727272727274,11,21.693534101620735
102,17,34.483999999999995,5,12.20546926586602
102,18,18.40125,8,11.05532507437027
102,19,24.259999999999998,7,5.98034279953917
102,20,30.060000000000002,7,28.886912838400253
102,21,22.558,15,14.441249550209585
102,22,15.034,10,8.4142395180234
102,23,14.99,9,11.571617216275348
106,0,26.192,35,17.127732036258696
106,1,26.98818181818182,11,13.108219420029416
106,2,30.265,6,21.912136135028007
106,3,53.215,2,7.672108575874044
106,4,27.89,6,14.778252941400076
106,5,21.73,2,6.462955980045044
106,6,44.343333333333334,3,23.51698605972571
106,7,12.623333333333333,6,7.187193239830599
106,8,27.939615384615383,26,16.49799781325461
106,9,28.347241379310347,29,12.721972246177566
106,10,29.474999999999998,6,12.632250393338474
106,11,27.538947368421052,19,16.05776063491379
106,12,17.616,5,1.3596617226354504
106,13,29.353846153846156,13,14.241289465530345
106,14,26.44,19,16.265721284003636
106,15,28.849090909090908,11,16.07688555320679
106,16,17.729999999999997,4,10.755535009163113
106,17,21.14909090909091,22,13.88985717952249
106,18,26.10970588235294,34,16.141037758176314
106,19,23.289411764705882,17,17.667455062412156
106,20,24.146842105263158,19,20.97528282225735
106,21,16.893333333333334,21,12.706793589782333
106,22,28.912777777777777,36,16.250217512585763
106,23,23.745,26,13.836105882798092
107,0,20.175757420675538,1954,8.898234771150266
107,1,20.199469153515064,1394,9.133629882825835
107,2,21.176837988826815,895,10.271789866418262
107,3,20.778972746331235,477,11.194637352551354
107,4,23.656017441860467,344,17.62258523406984
107,5,25.102105263157895,342,19.571884967610263
107,6,20.38796875,896,13.683308475711586
107,7,20.321225806451615,1705,12.047377150557878
107,8,20.527007682976144,2473,10.006313436978214
107,9,20.132611909650922,2435,10.172877504660992
107,10,20.856677585400096,2137,10.862436990134082
107,11,20.627919101123595,2225,10.652258708226046
107,12,20.925344900550147,2363,11.91733604057299
107,13,21.833294701986755,2416,13.980815364283098
107,14,21.679443791617707,2553,12.953225576099076
